"Strategy","Initiator","PeerId","Count"
"LOCAL_ONLY (baseline local)","18008","(none)","0"
"REMOTE_ONLY (skip local)","18008","(none)","0"
"LOCAL_THEN_REMOTE_MERGE (sequential merge)","18008","(none)","0"
"PARALLEL_MERGE (hedged)","18008","(none)","0"
"QUORUM (majority peers)","18008","(none)","0"
"REMOTE_ONLY + max_peers=2 (limited fanout)","18008","(none)","0"
"STALE_OK cache (TTL 10s)","18008","(none)","0"
"FORCE_REMOTE (probe even if local hits)","18008","(none)","0"
"Consistency=ALL (bounded wait)","18008","(none)","0"
"Zero-hit control (query non-existent prefix)","18008","(none)","0"
